scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
65,252.38159,696.8242,0.90625,236.85547,699.0757,0.9892578,245.45703,716.2274,1.0,246.12305,702.8789,1.0
66,251.02881,700.0009,0.76904297,235.94904,703.4844,1.0,246.44922,718.66406,1.0,245.63477,707.6821,1.0
67,249.73047,704.83594,0.9394531,237.64551,708.22266,0.99658203,245.64062,720.6582,1.0,245.55664,711.8828,1.0
68,249.05273,710.6836,0.90625,236.77051,712.39453,0.91845703,247.2168,729.5703,1.0,244.90088,717.1504,1.0
69,248.08594,714.8672,0.7685547,234.09863,720.0371,1.0,246.1211,734.5625,1.0,244.02441,723.4883,1.0
70,247.79297,722.5596,0.90625,234.22363,726.9336,0.9770508,245.9336,738.2793,1.0,243.59302,729.5996,1.0
71,249.36133,726.5586,0.9067383,235.19629,729.8379,0.90771484,246.93555,745.11914,1.0,244.27686,734.0449,1.0
72,250.76855,732.58496,0.7084961,237.05762,736.3633,0.9873047,248.01562,751.8789,1.0,245.9961,741.05273,1.0
73,253.7627,740.7407,0.8569336,239.12695,743.5781,0.99316406,249.95508,761.2969,0.98535156,247.04688,747.48584,1.0
74,255.83203,749.7197,0.7939453,240.51172,752.9883,0.92822266,253.53613,770.45215,1.0,250.0127,757.3779,0.9765625
75,256.66992,758.3086,0.84814453,240.24219,762.48047,0.8564453,253.1875,780.88135,0.97021484,251.05957,766.125,0.8876953
76,257.12305,769.46484,0.8125,243.40039,773.52637,0.84033203,255.18555,790.91406,0.9448242,251.59521,776.1992,0.93896484
77,259.40967,777.6289,0.83203125,243.41992,782.1621,0.92871094,256.27734,800.30273,1.0,253.58496,785.5215,0.9741211
78,261.25195,788.03033,0.94091797,245.23926,792.1914,0.92529297,258.84863,811.5935,1.0,255.74219,795.7959,0.9404297
79,261.97656,799.96094,0.7680664,246.8789,801.8789,0.94091797,259.1455,819.8386,1.0,256.07617,806.0293,1.0
80,264.90234,809.14844,0.86816406,248.59375,812.6577,0.9350586,261.55664,831.75,1.0,258.59082,816.58203,1.0
81,265.1211,820.7134,1.0,249.26172,824.09766,0.94921875,261.4004,842.6914,1.0,259.27393,827.7324,1.0
82,265.0664,832.68945,0.91064453,250.14062,836.1184,0.99658203,261.11133,853.7529,1.0,259.23438,839.77734,1.0
83,265.56055,843.6084,0.8203125,250.06445,847.4414,1.0,262.72266,864.42773,1.0,259.95428,851.0952,1.0
84,267.4702,854.0586,0.92578125,251.17432,856.9492,0.94384766,262.8828,876.20654,1.0,261.2295,860.9678,1.0
85,268.0333,862.8828,0.8300781,252.35596,866.30664,1.0,264.14648,885.249,1.0,262.04297,871.29297,1.0
86,270.01953,871.1094,0.96728516,252.2605,873.1113,0.97216797,264.81055,893.2715,1.0,262.60547,877.9121,0.9873047
87,269.49707,878.1953,0.8125,252.37817,881.81836,1.0,265.66797,901.7998,1.0,262.9414,886.1289,1.0
88,267.66382,886.6426,0.9848633,250.14062,887.22656,0.9926758,262.48438,909.73047,0.99121094,260.68018,892.98193,1.0
89,266.31543,892.9375,0.84033203,249.6289,895.7578,1.0,263.16602,915.22217,1.0,259.8595,899.7694,1.0
