scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
118,298.97675,610.00616,1.0,305.36993,589.83026,1.0,289.47916,596.9361,0.9449929,295.92334,599.88763,1.0
119,293.2743,608.99774,0.9377718,296.93503,587.7307,0.9945664,280.53955,595.7342,0.9193009,288.33746,597.9551,1.0
120,283.9622,606.25055,1.0,286.29004,585.6285,0.99162567,272.7889,594.731,0.9568108,278.91638,596.49524,1.0
121,275.16522,605.4462,0.877475,278.17416,584.51495,1.0,264.02948,592.6474,0.9458466,270.50302,595.35626,1.0
122,266.90167,602.35596,0.9467652,270.3421,582.76434,0.99814373,254.59276,590.5248,0.9678798,263.04074,592.58484,1.0
123,260.55383,600.25385,0.89764214,262.0842,581.56744,0.9714354,247.4861,589.50806,0.9935472,255.11888,591.0159,0.9745504
124,250.66306,598.4779,0.9608793,254.66216,580.4849,0.97409225,240.71162,586.10016,0.96937877,245.99675,589.67896,1.0
125,244.68207,597.02905,0.9701941,247.70364,577.84875,1.0,231.7815,585.231,0.9783962,239.78807,587.89734,1.0
126,238.59296,597.1503,0.9484844,241.94728,577.43726,1.0,226.66632,584.19617,0.9381502,233.08064,587.6424,1.0
127,232.44113,595.985,0.98523635,235.59315,576.22876,1.0,220.73808,584.658,0.96993405,228.97208,587.39404,1.0
128,228.28807,594.356,0.96977895,230.5096,575.63104,1.0,213.85953,583.6435,0.93049204,222.08585,585.8677,1.0
129,223.26927,594.97845,0.9942394,224.54361,575.38684,1.0,209.37965,583.78986,0.9196183,217.17146,586.33246,1.0
130,217.09906,594.3084,1.0,219.54124,574.6399,0.98399603,204.62231,584.2884,0.8700433,213.04596,586.0908,1.0
131,214.12405,593.1033,0.91242546,215.45053,575.05865,0.94514567,198.99493,584.433,0.9125256,207.25464,585.78174,1.0
132,210.6323,593.2456,0.9783118,212.28516,574.60034,1.0,196.46112,582.2428,0.93365,204.16962,584.852,1.0
133,207.81552,593.1266,0.96836525,211.46588,573.90814,1.0,193.56339,579.3938,0.9453749,202.7096,583.93335,1.0
134,207.0926,592.55963,0.980079,211.26785,573.51324,1.0,192.66023,578.27124,0.94160396,202.47763,583.61395,1.0
135,207.28665,591.18494,1.0,209.66794,571.5781,1.0,190.50009,576.91296,0.963597,202.22623,582.43036,1.0
136,207.67761,590.9025,1.0,207.70432,568.13275,1.0,188.31743,576.42645,0.95439434,202.19604,580.5998,1.0
137,209.58087,589.3216,1.0,209.85109,566.0755,1.0,187.74306,575.6066,1.0,203.94167,578.31976,1.0
138,210.11632,588.3412,0.95153326,211.02579,564.70074,1.0,188.31296,575.0091,1.0,205.29532,577.5761,1.0
139,214.96646,589.7081,0.9940404,212.26465,567.27155,1.0,191.75136,578.69916,0.9984247,208.3791,580.2605,1.0
140,219.52818,593.09705,1.0,214.49466,571.02094,1.0,194.60002,586.3167,1.0,211.14606,584.9866,1.0
141,223.62688,597.6669,1.0,215.55855,574.2443,0.9323433,197.26746,594.3866,1.0,215.72076,589.3058,0.9578537
142,228.81802,602.3151,0.97231704,215.8367,580.7145,0.9792398,203.5501,605.84393,0.9388484,219.14012,595.39777,1.0
143,232.26636,603.9733,0.9253461,216.60341,586.62756,0.8803057,209.27762,611.5868,1.0,221.95216,599.57043,1.0
144,235.40565,607.21765,0.957228,217.45277,591.4738,0.9279934,213.90294,617.5589,1.0,223.05933,604.2156,1.0
145,238.42682,612.632,1.0,219.37909,595.4281,1.0,214.45636,622.60535,0.97786427,227.0057,608.1797,1.0
146,240.75635,614.9888,1.0,220.82147,600.2586,0.9444645,216.92786,626.3067,0.9612297,230.48546,611.9532,1.0
147,243.03795,615.6928,0.94762564,221.01587,604.1354,0.9505212,219.39441,632.33655,0.9344135,232.0394,615.2288,1.0
148,243.51132,616.65826,0.92540085,221.8936,604.65735,0.98696095,220.22227,632.9047,0.9032669,232.75166,616.06274,1.0
149,244.56808,617.0102,0.9987194,223.18819,607.95886,0.968403,225.38896,633.0601,0.85327816,234.6417,617.0145,1.0
