scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
72,822.6931,883.88495,0.99519277,799.4082,880.662,0.94376373,807.5067,907.3482,0.9675897,811.5883,886.04126,1.0
73,821.676,884.63354,1.0,798.61926,878.7382,0.9315168,802.71466,905.3502,0.936927,810.2871,887.1192,1.0
74,820.6144,883.77734,1.0,796.232,876.9718,0.9674924,800.818,905.36176,0.96023315,809.40094,885.75183,1.0
75,819.529,883.3045,1.0,795.5503,875.2656,0.9536493,798.761,904.13855,0.9974208,808.4134,884.6811,1.0
76,818.30884,883.3755,1.0,794.6863,873.8387,0.9438297,796.5851,902.8128,1.0,808.3389,883.89435,1.0
77,818.367,883.0766,1.0,795.51416,873.44714,0.94776195,796.08655,902.63806,0.99330837,808.1564,883.3769,1.0
78,818.9848,882.8046,1.0,795.665,873.0084,0.9477616,796.59247,902.64453,1.0,808.58417,882.9895,1.0
79,819.5297,882.6264,1.0,794.8829,873.4327,0.9440628,798.1152,903.3611,1.0,808.1448,883.38727,1.0
80,819.5237,882.53864,1.0,794.8121,873.6989,0.94409025,798.4815,903.7087,0.99774,808.1354,883.5356,1.0
81,819.91907,882.24396,0.98900855,794.95825,873.0999,0.9351212,798.54803,903.2209,0.9960179,808.32043,882.9397,1.0
82,821.2486,882.7756,0.9976531,795.6353,871.86066,0.9439977,798.68744,901.69666,1.0,808.6261,881.90393,1.0
83,821.33435,882.6057,1.0,795.64185,871.9607,0.95477724,799.4101,902.00696,1.0,808.76154,881.86975,1.0
84,821.5482,882.4742,0.99416745,796.0169,873.10583,0.94648564,800.1629,902.91345,0.99781746,809.40875,882.45557,1.0
85,823.0458,881.7073,1.0,796.55853,872.92365,0.93114585,800.2789,902.3157,0.93830365,810.2544,881.8808,1.0
86,823.37756,880.9997,1.0,797.2458,872.94086,0.9439064,801.3751,901.9954,0.9693257,810.92065,881.3966,1.0
87,823.1178,880.4029,1.0,797.6943,873.713,0.95412326,800.5253,900.2518,0.94091946,810.3988,880.30475,0.99955064
