scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
82,814.2422,346.1963,0.93115234,791.5781,349.37207,0.97265625,806.25,374.7793,1.0,804.8804,353.6797,1.0
83,813.8125,347.66602,0.89453125,792.1543,350.28906,0.9970703,806.5254,374.96094,1.0,804.9038,355.1704,1.0
84,813.08105,350.5957,0.89941406,792.64453,351.625,0.99853516,805.42773,373.02148,1.0,804.3474,356.102,1.0
85,811.46436,350.79102,0.82666016,793.209,352.3379,1.0,806.0586,369.98633,1.0,804.23816,357.03223,1.0
86,810.5332,350.08594,0.77685547,793.4824,351.4336,0.9560547,805.36914,368.42578,0.93603516,803.5442,357.12012,1.0
87,809.9199,348.93652,0.7973633,793.0117,350.68945,0.90234375,802.9541,365.7295,1.0,802.1582,356.53906,1.0
88,810.5742,346.68652,0.77441406,794.2969,349.52637,0.8828125,803.87805,363.2798,0.9428711,803.2905,355.51392,1.0
89,811.9318,346.77734,0.77246094,794.9697,348.57568,0.9013672,805.3301,361.8672,0.96777344,804.3657,353.95312,1.0
90,813.5742,345.23828,0.7993164,796.6665,347.16016,0.93066406,807.16406,360.80664,0.921875,805.68066,352.41797,1.0
91,814.3828,344.28906,0.79785156,798.1094,347.5161,0.94140625,809.03516,362.19824,0.94140625,806.8594,352.81836,1.0
